id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
27,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #27)",2023-06-14,25,True,mobile,2.5.0
28,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #28),2024-03-17,34,True,desktop,2.1.4
29,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #29),2023-03-26,33,True,,
30,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #30),2024-02-23,8,True,mobile,4.1.0
31,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #31),2023-06-28,37,False,desktop,
32,Miro,collaborative whiteboard,1,Several pain points keep me from recommending this release. (Miro review #32),2023-08-28,38,False,desktop,
33,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #33),2023-03-15,18,True,desktop,4.0.1
34,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #34),2023-05-05,14,True,,2.5.3
35,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #35),2023-03-05,33,True,,5.2.0
36,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #36),2024-02-19,33,True,mobile,2.0.0
37,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #37),2023-02-04,20,True,tablet,3.1.2
38,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #38),2023-05-01,37,False,mobile,4.1.0
39,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #39)",2024-01-09,5,True,desktop,
40,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #40)",2024-02-12,9,False,desktop,2.1.0
41,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #41),2023-08-08,39,True,desktop,2.0.0
42,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #42),2023-05-01,16,False,desktop,2.5.3
43,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #43),2023-04-01,8,True,desktop,4.0.1
44,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #44),2023-08-22,16,True,,
45,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #45),2023-07-16,34,True,desktop,
46,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #46),2023-05-01,43,False,tablet,2.1.4
47,Fieldkit,field research,1,Several pain points keep me from recommending this release. (Fieldkit review #47),2023-03-29,15,False,tablet,2.5.0
48,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #48),2023-05-17,17,True,desktop,2.0.0
49,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #49),2023-01-08,21,False,mobile,2.6.0
50,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #50),2023-06-01,41,True,mobile,5.2.0
51,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #51)",2024-03-26,11,False,desktop,
52,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #52),2023-09-27,36,True,mobile,2.0.0
53,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #53),2024-04-10,17,False,tablet,5.2.0
54,Lookback,user research,1,Several pain points keep me from recommending this release. (Lookback review #54),2023-11-11,30,False,desktop,
55,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #55),2023-01-12,41,True,,2.1.0
56,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #56)",2024-05-14,22,True,mobile,4.1.0
57,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #57),2023-08-09,42,True,tablet,
58,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #58),2024-02-21,43,True,mobile,3.1.2
59,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #59),2024-01-31,17,False,mobile,
60,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #60),2023-08-19,36,False,desktop,
61,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #61),2023-02-10,34,False,desktop,5.1.0
62,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #62),2023-10-18,22,True,desktop,3.1.2
63,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #63),2023-09-05,23,True,mobile,4.0.1
64,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #64),2023-08-14,27,True,,3.2.0
65,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #65),2023-10-04,30,True,mobile,4.1.0
66,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #66),2024-05-09,5,True,mobile,5.3.1
67,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #67),2023-04-23,9,True,,5.3.1
68,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #68),2023-02-04,40,True,desktop,
69,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #69),2024-01-21,47,True,tablet,2.1.4
70,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #70),2024-03-12,5,True,mobile,2.1.4
71,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #71),2023-03-22,15,True,,5.1.0
72,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #72),2023-07-20,35,True,tablet,5.1.0
73,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #73),2024-02-16,29,True,mobile,4.1.0
74,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #74),2024-04-14,20,True,,2.5.3
75,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #75),2024-05-12,26,True,,4.1.0
76,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #76),2023-05-29,10,False,desktop,5.1.0
77,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #77)",2023-04-22,9,True,mobile,
78,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #78),2024-01-09,2,True,,3.1.2
79,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #79),2024-04-19,36,True,desktop,2.1.0
80,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #80),2023-01-30,40,True,mobile,5.1.0
81,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #81),2023-12-07,32,True,mobile,4.0.1
82,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #82),2024-01-05,8,True,mobile,2.0.0
83,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #83),2024-02-10,46,True,tablet,4.0.1
84,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #84),2024-04-05,43,True,mobile,
85,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #85),2024-01-20,6,True,mobile,
86,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #86),2023-05-30,32,True,tablet,
87,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #87)",2024-05-14,39,True,desktop,2.5.3
88,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #88),2023-04-28,46,True,tablet,5.1.0
89,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #89),2023-06-21,46,True,mobile,3.1.2
90,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #90),2023-05-13,0,True,mobile,
91,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #91),2023-08-03,47,False,desktop,2.5.3
92,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #92),2023-12-16,12,True,mobile,
93,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #93),2024-01-23,37,False,mobile,3.1.2
94,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #94),2024-01-21,27,False,desktop,3.1.2
95,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #95),2024-01-04,40,True,mobile,3.2.0
96,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #96),2023-04-17,32,False,mobile,
97,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #97),2023-01-03,27,True,mobile,
98,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #98),2023-10-13,17,True,tablet,3.2.0
99,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #99),2024-03-17,1,True,mobile,5.1.0
100,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #100),2023-04-14,43,True,desktop,5.2.0
101,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #101),2023-12-31,38,True,mobile,2.1.4
102,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #102),2023-02-14,6,False,desktop,4.0.1
103,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #103),2023-06-19,35,True,mobile,3.1.0
104,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #104)",2023-07-05,11,True,,
105,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #105),2023-04-05,8,False,,3.1.0
106,Fieldkit,field research,1,Several pain points keep me from recommending this release. (Fieldkit review #106),2023-10-10,19,True,,2.5.3
107,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #107),2023-08-28,35,True,desktop,2.1.4
108,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #108),2023-09-21,30,True,,4.1.0
109,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #109),2023-12-12,6,True,,5.3.1
110,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #110)",2023-03-24,19,False,desktop,3.1.2
111,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #111),2023-07-21,11,False,,3.2.0
112,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #112),2023-02-05,11,True,,5.3.1
113,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #113),2023-12-31,4,True,tablet,2.6.0
114,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #114),2024-04-29,4,True,desktop,4.0.1
115,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #115),2023-08-23,6,False,desktop,2.0.0
116,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #116),2023-03-28,8,True,mobile,2.1.0
117,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #117),2023-08-20,11,True,,2.5.0
118,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #118),2023-04-07,38,True,mobile,3.1.0
119,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #119)",2024-03-29,25,True,,2.6.0
120,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #120),2023-11-15,12,True,desktop,4.1.0
121,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #121),2023-05-18,5,True,mobile,
122,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #122),2023-05-08,13,True,mobile,5.1.0
123,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #123),2023-01-12,45,True,tablet,4.1.0
124,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #124),2023-07-21,44,True,tablet,2.0.0
125,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #125),2023-07-21,40,True,mobile,3.1.2
126,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #126),2023-07-19,12,True,mobile,
127,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #127),2023-01-18,4,True,mobile,4.0.1
128,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #128),2024-01-29,30,True,tablet,2.5.3
129,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #129),2024-01-27,7,True,mobile,2.0.0
130,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #130),2023-07-16,44,False,mobile,
131,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #131),2023-11-04,40,True,desktop,4.0.1
132,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #132),2024-02-29,3,True,mobile,
133,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #133),2023-04-24,25,True,desktop,4.0.1
134,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #134),2024-03-05,41,True,mobile,4.1.0
135,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #135),2023-06-02,4,False,tablet,2.5.3
136,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #136),2023-09-26,36,True,desktop,2.5.3
137,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #137),2023-03-06,5,True,tablet,2.6.0
138,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #138),2023-03-21,45,True,desktop,
139,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #139)",2023-02-22,34,True,desktop,4.1.0
140,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #140)",2023-08-09,2,True,desktop,
141,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #141),2024-03-14,8,True,desktop,4.1.0
142,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #142),2024-05-07,35,True,desktop,5.1.0
143,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #143),2024-02-15,7,True,desktop,
144,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #144)",2024-01-10,29,True,mobile,
145,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #145),2023-05-24,20,False,mobile,2.0.0
146,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #146),2024-05-08,11,False,desktop,3.1.0
147,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #147),2023-09-09,32,True,,2.1.0
148,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #148),2023-09-10,27,True,mobile,
149,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #149),2024-03-04,18,True,desktop,2.6.0
150,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #150)",2024-01-29,46,False,tablet,4.1.0
151,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #151)",2024-02-04,11,False,tablet,
152,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #152),2024-01-23,35,True,desktop,5.1.0
153,Fieldkit,field research,2,It works for basic tasks but important workflows feel unfinished. (Fieldkit review #153),2023-12-05,12,True,tablet,2.5.3
154,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #154),2024-02-03,9,True,desktop,2.5.3
155,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #155)",2024-02-02,21,True,tablet,3.2.0
156,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #156),2023-01-04,34,False,desktop,2.1.4
157,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #157),2024-04-03,7,True,mobile,5.3.1
158,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #158),2023-07-16,16,True,mobile,4.0.1
159,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #159),2023-11-16,31,True,mobile,4.0.1
160,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #160),2023-02-05,47,True,desktop,4.0.1
161,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #161),2023-02-16,28,False,desktop,4.0.1
162,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #162),2023-11-04,42,True,desktop,
163,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #163),2023-02-18,13,True,desktop,3.1.2
164,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #164),2024-01-29,28,True,desktop,
165,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #165),2023-07-11,29,True,mobile,4.1.0
166,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #166),2023-08-29,42,True,mobile,2.6.0
167,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #167),2023-05-31,11,False,mobile,2.6.0
168,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #168),2023-04-14,16,False,mobile,4.0.1
169,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #169),2023-10-31,14,True,desktop,2.5.3
170,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #170),2024-04-12,39,False,,
171,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #171),2024-04-18,1,False,desktop,2.5.3
172,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #172),2023-04-21,44,True,mobile,5.3.1
173,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #173),2023-06-10,27,True,mobile,
174,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #174),2023-10-30,23,True,,
175,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #175),2023-08-26,2,True,desktop,2.1.0
176,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #176),2023-06-24,39,False,tablet,
177,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #177),2024-03-08,36,False,mobile,4.0.1
178,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #178),2024-02-25,19,True,tablet,
179,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #179),2023-07-28,45,True,mobile,4.1.0
180,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #180),2023-01-26,17,True,desktop,2.1.4
181,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #181),2023-09-27,12,True,tablet,3.1.2
182,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #182),2024-03-09,10,True,mobile,4.1.0
183,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #183),2024-01-03,42,True,,2.5.0
184,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #184),2023-04-18,26,True,,2.5.3
185,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #185),2023-07-24,37,True,mobile,
186,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #186),2024-02-04,11,True,tablet,2.6.0
187,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #187),2023-04-26,19,True,desktop,2.5.0
188,Miro,collaborative whiteboard,3,"Mixed experience: useful in places, frustrating in others. (Miro review #188)",2023-06-20,46,True,tablet,3.1.2
189,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #189),2023-12-22,5,True,desktop,
190,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #190),2023-11-14,17,True,desktop,3.2.0
191,Dovetail,research repository,5,Reliable and thoughtfully designed; this has become a daily tool. (Dovetail review #191),2024-04-09,25,True,mobile,2.0.0
192,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #192),2023-08-27,5,True,,3.1.2
193,Lookback,user research,5,Reliable and thoughtfully designed; this has become a daily tool. (Lookback review #193),2023-01-31,30,True,tablet,5.1.0
194,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #194)",2023-04-11,0,True,,
195,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #195),2024-03-20,40,True,mobile,5.3.1
196,Lookback,user research,2,It works for basic tasks but important workflows feel unfinished. (Lookback review #196),2023-01-30,16,True,mobile,5.3.1
197,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #197),2023-10-17,6,True,mobile,
198,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #198),2023-03-12,12,True,desktop,
199,Fieldkit,field research,3,"Mixed experience: useful in places, frustrating in others. (Fieldkit review #199)",2024-05-01,8,True,tablet,2.6.0
200,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #200),2023-12-06,44,True,mobile,3.2.0
201,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #201),2023-06-16,39,True,mobile,2.5.0
202,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #202),2023-05-26,10,True,desktop,3.1.0
203,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #203),2023-02-15,8,True,desktop,2.5.0
204,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #204),2023-07-10,3,True,mobile,2.0.0
205,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #205),2024-05-09,4,True,tablet,2.5.0
206,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #206),2023-01-16,6,True,mobile,2.1.0
207,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #207),2024-02-18,35,False,desktop,4.1.0
208,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #208)",2023-02-12,37,True,mobile,4.0.1
209,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #209)",2023-11-12,19,False,mobile,4.1.0
210,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #210),2023-06-03,30,True,mobile,3.1.2
211,Maze,usability testing,5,Reliable and thoughtfully designed; this has become a daily tool. (Maze review #211),2023-09-19,45,True,mobile,4.1.0
212,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #212),2023-07-27,21,False,mobile,
213,Fieldkit,field research,1,Several pain points keep me from recommending this release. (Fieldkit review #213),2023-12-19,16,True,,2.5.0
214,Miro,collaborative whiteboard,4,Solid overall; a few rough edges but it fits my routine well. (Miro review #214),2023-08-22,3,False,desktop,3.1.0
215,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #215),2023-07-30,38,True,mobile,2.6.0
216,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #216),2023-05-11,20,False,tablet,5.1.0
